Price,終値,高値,安値,始値,出来高
Ticker,8308.T,8308.T,8308.T,8308.T,8308.T
Date,,,,,
2021-02-17,386.3387756347656,395.22904511360093,384.43987033794707,392.4670321754888,17561000
2021-02-18,373.9958801269531,389.0144299268601,373.73695051278406,388.23758840284444,12728100
2021-02-19,373.3917541503906,378.7431688662084,370.45710397194114,370.80235228574264,10318600
2021-02-22,376.5852966308594,382.10937446685995,375.4632331370966,380.2967880732195,10974000
2021-02-24,375.80853271484375,383.49041993187495,375.54960305501754,382.79992327849914,14576500
2021-02-25,383.4041442871094,387.89242541084826,381.9368059088955,386.68404304448626,15432800
2021-02-26,369.1623840332031,382.71357062272006,368.3855424411983,378.4842197296958,21771600
2021-03-01,377.4484558105469,378.0526600958613,369.59395814600106,370.1118174296911,11538900
2021-03-02,375.2906494140625,379.4337083826434,371.32025412104946,378.9158227189759,11175500
2021-03-03,379.51995849609375,379.51995849609375,372.9601360696658,376.15371546069025,9962700
2021-03-04,380.7283630371094,384.26721724394275,375.29060374151004,382.19567484137775,11866600
2021-03-05,378.8294372558594,384.6987631746052,375.8947874668637,384.0945589500674,11680600
2021-03-08,385.0440673828125,389.618666864908,382.10941716746305,384.18093341707686,15261400
2021-03-09,399.6310119628906,400.83939420391425,389.44604206471814,392.8985778052183,21019600
2021-03-10,391.94915771484375,394.36592239732596,389.18711835707023,391.2586347050206,23939700
2021-03-11,398.422607421875,400.92569042548683,393.07116678732075,394.2795489607103,14529400
2021-03-12,397.73211669921875,400.4941558968797,394.1069698856414,400.3215185692417,15921100
2021-03-15,404.809814453125,407.14028660781474,400.49414478944567,400.49414478944567,15697300
2021-03-16,404.20562744140625,413.7001011073358,400.58048057341546,402.04779251733135,15383000
2021-03-17,400.5804443359375,401.96146383056674,397.0415901124363,397.30051974359856,14924400
2021-03-18,414.8221740722656,415.4263520217915,401.5299167528529,403.0835472982133,24646600
2021-03-19,428.54595947265625,431.3079983479562,418.61992012938225,418.61992012938225,41948800
2021-03-22,426.3018493652344,432.4301056313552,423.45351788839673,427.25130197109945,17669000
2021-03-23,413.3548583984375,423.1945805176299,411.71490910203187,422.5040838688566,17667000
2021-03-24,394.62481689453125,404.896104705258,390.82700678435873,402.2203844333656,19431900
